Botines Nike Predator,FEETS,Rosa,Cuero,WINDYSUNNY,SPORTS,Botines de puppy futbol,43,botin1.png,Nike
Bufanda Estilo Ingles,NECK,Azul-Beige,Algodon,NEWWINTER,SEMIFORMAL,Bufanda a cuadros estilo ingles.,-,bufanda1.png,NewEngland
Bufanda Norte Argentino,NECK,Marron,Algodon,NEWWINTER,INFORMAL,Bufanda con dibujo de una llama,-,bufanda2.png,Mapuche
Buso Rasposo,CHEST2,Negro,Algodon,MEDIUM,SEMIFORMAL,Buso negro para cualquier uso,M,buso1.png,Wrangler
Buso de Inglaterra,CHEST2,Verde,Lana,NEWWINTER,SEMIFORMAL,Buso estilo ingles,M,buso2.png,NewEngland
Buso Polo,CHEST2,Negro,Algodon,HUMIDWINTER,SEMIFORMAL,Buso con cierre en el cuello,M,buso3.png,Polo
Buso de Praga,CHEST2,Violeta,Algodon,SUMMERNIGHT,INFORMAL,Buso de la Universidad de Praga,M,buso4.png,Praga
Camisa cuadriculado fino,CHEST,Celeste,Algodon,HOTSUMMER,INFORMAL,Camisa para usar en verano,M,camisa1.png,Kmiza
Camisa lisa,CHEST,Gris,Algodon,HOTSUMMER,INFORMAL,Camisa manga corta para dias de calor,M,camisa10.png,Kmiza
Camisa a cuadros,CHEST,Azul,Algodon,HOTSUMMER,INFORMAL,Camisa manga corta para dias de calor,M,camisa11.png,Kmiza
Camisa lisa formal,CHEST,Blanca,Algodon,MEDIUM,FORMAL,Camisa para usar en evento formal,M,camisa12.png,Rsh
Camisa fomal a cuadros,CHEST,Azul,Algodon,MEDIUM,FORMAL,Camisa manga larga,M,camisa2.png,Zman
Camisa Salida a cuadros,CHEST,Rojo-Azul,Algodon,MEDIUM,SEMIFORMAL,Camisa manga larga,M,camisa3.png,Felix
Camisa con flores,CHEST,Azul,Algodon,MEDIUM,SEMIFORMAL,Camisa semi-formal para salidas,M,camisa4.png,Aeropostale
Camisa rayada,CHEST,Marron,Algodon,MEDIUM,SEMIFORMAL,Camisa manga larga,M,camisa5.png,Lacoste
Camisa a cuadros,CHEST,Marron-Celeste,Algodon,MEDIUM,SEMIFORMAL,Camisa manga larga,M,camisa6.png,Zara
Camisa a cuadros,CHEST,Azul-Blanca,Algodon,MEDIUM,SEMIFORMAL,Camisa a cuadros para trabajr,M,camisa7.png,Zara
Camisa a cuadros,CHEST,Rosa-Azul,Algodon,MEDIUM,SEMIFORMAL,Camisa a cuadros para salir,M,camisa8.png,Zara
Camisa rayada,CHEST,Azul-Blanca,Algodon,MEDIUM,FORMAL,Camisa rayada ,M,camisa9.png,Zara
Campera mucho frio,CHEST3,Gris,Polar,SNOWING,INFORMAL,Campera para nieve lluvia abrigada,L,campera1.png,Columbia
Campera frio extremo,CHEST3,Negro,Plumas,MAXIMUM,SEMIFORMAL,Campera muy abrigada ,L,campera2.png,J.L.Beans
Gorra Nike azul,HEAD,Azul,Poliester,NOTHING,SPORTS,Gorra nike,M,gorra1.png,Nike
Gorra Nike Golf negra,HEAD,Negro,Poliester,NOTHING,SPORTS,Gorra nike,M,gorra2.png,Nike
Gorra Despegar,HEAD,Violeta,Poliester,NOTHING,SPORTS,Gorra chula despegar,M,gorra3.png,DespGorra
Gorro Polar Nike,HEAD,Rojo,Polar,FREEZING,SPORTS,Gorro abrigado,M,gorrito1.png,Nike
Guante Nieve,HANDS,Verde,Polar,FREEZING,SPORTS,Guante para nieve,M,guante1.png,Glooves
Guante Nieve,HANDS,Marron,Polar,FREEZING,SPORTS,Guante para nieve,M,guante2.png,Glooves
Guante Nieve,HANDS,Azul,Polar,FREEZING,SPORTS,Guante para nieve,M,guante3.png,Glooves
Jogging,LEGS,Negro,Nylon,NEWWINTER,HOME,Joggin entrecasa,32x32,jogging1.png,Pony
Malla Colorida,LEGS,Multicolor,Poliester,HOTSUMMER,INFORMAL,Malla para playa,M,malla1.png,Water
Malla Adidas,LEGS,Azul-Negro,Poliester,HOTSUMMER,INFORMAL,Malla para playa,M,malla2.png,Adidas
Moño formal,NECK,Negro,Polester,VERYFORMAL,NOTHING,Mono para traje,-,mono.png,Polo
Musculosa Basket,CHEST,Rojo,Nylon,SPORTS,HOTSUMMER,Musculosa para hacer deporte,L,musculosa1.png,Nike
Musculosa RD,CHEST,Verde,algodon,SPORTS,HOTSUMMER,Musculosa de republica dominicana,M,musculosa2.png,RD
Musculosa Vans,CHEST,Blanca,algodon,SPORTS,HOTSUMMER,Musculosa para la playa,M,musculosa3.png,Vans
Musuclosa 00,CHEST,Gris,algodon,SPORTS,HOTSUMMER,Musculosa de playa,M,musculosa4.png,CeroCero
Pantalon Largo ,LEGS,Azul,algodon,FORMAL,HUMIDWINTER,Pantalon para trabajar,32x34,panatalon1.png,GAP
Pantalon Largo ,LEGS,Blanco,algodon,FORMAL,HUMIDWINTER,Pantalon para trabajar,32x34,panatalon2.png,GAP
